"time","add.y","airHeaterTextWithIO.T_Out_ext"
155.5,20.17718917452397,20.12083293196286
156,20.16049390936672,20.13080321446026
156.5,20.20735710949544,20.1412120550199
157,20.1025379930995,20.14751083162607
157.5,20.0353076754025,20.14530019836768
158,20.11333274968278,20.14506818472413
158.5,20.13179326424373,20.14232596482664
159,20.07810127926186,20.13185581889014
159.5,20.16029201740824,20.1194239184062
160,20.18061417672018,20.10999053097903
160.5,20.11209480460451,20.11006150891067
161,20.1282626268662,20.1085972623226
161.5,20.11082686751962,20.10065275942306
162,20.21826966301866,20.09388766283555
162.5,20.0628642462365,20.08460486942446
163,19.97474742820208,20.06875588182921
163.5,19.94645349749052,20.05521765044929
164,20.06788033353866,20.04414074798002
164.5,20.03390475749337,20.03249709124379
165,20.00881338192012,20.01482171347321
165.5,20.00824130498768,19.99957023348281
166,20.03307049900498,19.99806195382233
166.5,20.10607332896977,20.00263465591456
167,20.09018373624361,20.00091328121263
167.5,20.10807725459276,19.99350695520619
168,19.97402323929727,19.98911845704684
168.5,20.0778909475486,19.98574412299951
169,19.88725862165401,19.98040492738844
169.5,19.84692197017316,19.96871752667818
170,20.02331551332957,19.95330986740531
170.5,19.89745051031413,19.93712838744661
171,19.87317656210857,19.92733547198741
171.5,20.01320343472204,19.91840912947591
172,19.95847728016533,19.91395458965354
172.5,19.80162519840274,19.92270356993508
173,19.97897819025469,19.92307209570835
173.5,19.83968292214097,19.92055315743868
174,19.86654299890397,19.92675983291379
174.5,19.95233799486506,19.92595092860938
175,19.95806215723339,19.91970420563575
175.5,19.88775740232955,19.92555076150188
176,20.02946454371047,19.93023742496295
176.5,19.92544218175466,19.93297643878155
177,19.94937012012501,19.94239282589606
177.5,19.92996124614669,19.94525483420784
178,20.01010671016586,19.94300795226919
178.5,19.91358972018053,19.94494367385343
179,19.9475154792094,19.9428881102101
179.5,19.85914893449086,19.9390273182306
180,19.98155857434009,19.93991225334641
180.5,19.94754093616643,19.94027371609746
181,19.83170768172603,19.93646628031608
181.5,19.87347118754642,19.93307765136673
182,19.86497203764767,19.93335257294233
182.5,19.94943981202151,19.93787711174379
183,19.90521070155769,19.94089065394882
183.5,19.9566220773849,19.93952026763729
184,20.06011005781887,19.94745479490191
184.5,20.00057031855173,19.95985481209706
185,20.04448681752968,19.97038406170828
185.5,19.93308525343825,19.97650164798154
186,20.04899114797654,19.98046564976187
186.5,19.87490257189813,19.98410161361693
187,20.01273352567828,19.97879312832728
187.5,20.03381330003045,19.97129231855518
188,19.91449093324521,19.96501051086904
188.5,20.0501920794605,19.96308080897495
189,19.90846043210361,19.96094845358864
189.5,19.98479099238265,19.96276044335467
190,20.0596697343954,19.96704224332206
190.5,20.01280831886269,19.96273125962626
191,20.03116087768558,19.96518367501216
191.5,19.94873218873599,19.96721496103739
192,19.98585956080499,19.97009293584696
192.5,20.07480318595094,19.97721643708775
193,19.98337538823489,19.97590979785433
193.5,19.98029685189621,19.97358659462518
194,19.88656000432172,19.97362549704306
194.5,19.86589737682174,19.978331380545
195,20.0157165675097,19.9864531317359
195.5,20.03968607203258,19.98811360583183
196,19.9085721099815,19.99144130764989
196.5,19.90294595761602,20.00190603940563
197,19.92050048848276,20.01992597754188
197.5,19.94141742058898,20.04668720421275
198,20.03625262664871,20.06798806169006
198.5,20.17484510663985,20.0812868010275
199,20.20682097623938,20.10186400733774
199.5,20.20490646893241,20.13013230590253
200,20.14522441620825,20.15702363493441
200.0000000201026,20.13455819816759,20.15702363595561
200.0000000201026,20.05382148134884,20.15702363595561
200.5,20.20585550138501,20.18023902749359
201,20.29627524063631,20.19469819665914
201.5,20.2794720003118,20.19365776647897
202,20.26529619363198,20.18107655191928
202.5,20.13106772849438,20.16542775535067
203,20.18094296021372,20.15219070947365
