"time","T_Out_ext","T_amb_ext","u_ext"
125,26.1718,20,1
125.5,26.1138,20,1
126,26.0569,20,1
126.5,26.0013,20,1
127,25.947,20,1
127.5,25.8938,20,1
128,25.8417,20,1
128.5,25.7908,20,1
129,25.741,20,1
129.5,25.6923,20,1
130,25.6447,20,1
130.5,25.598,20,2
131,25.5524,20,2
131.5,25.5078,20,2
132,25.4642,20,2
132.5,25.4215,20,2
133,25.3797,20,2
133.5,25.3388,20,2
134,25.3749,20,2
134.5,25.4103,20,2
135,25.4448,20,2
135.5,25.4786,20,2
136,25.5117,20,2
136.5,25.5441,20,2
137,25.5757,20,2
137.5,25.6067,20,2
138,25.637,20,2
138.5,25.6666,20,2
139,25.6956,20,2
139.5,25.7239,20,2
140,25.7517,20,2
140.5,25.7788,20,2
141,25.8054,20,2
141.5,25.8313,20,2
142,25.8567,20,2
142.5,25.8816,20,2
143,25.9059,20,2
143.5,25.9297,20,2
144,25.953,20,2
144.5,25.9757,20,2
145,25.998,20,2
145.5,26.0198,20,2
146,26.0411,20,2
146.5,26.0619,20,2
147,26.0823,20,2
147.5,26.1023,20,2
148,26.1218,20,2
148.5,26.1409,20,2
149,26.1596,20,2
149.5,26.1778,20,2
150,26.1957,20,2
150.5,26.2132,20,2
151,26.2303,20,2
151.5,26.247,20,2
152,26.2634,20,2
152.5,26.2794,20,2
153,26.2951,20,2
153.5,26.3104,20,2
154,26.3254,20,2
154.5,26.34,20,2
155,26.3544,20,2
155.5,26.3684,20,2
156,26.3822,20,2
156.5,26.3956,20,2
157,26.4087,20,2
157.5,26.4216,20,2
158,26.4342,20,2
158.5,26.4465,20,2
159,26.4585,20,2
159.5,26.4703,20,2
160,26.4818,20,2
160.5,26.493,20,2
161,26.5041,20,2
161.5,26.5148,20,2
162,26.5254,20,2
162.5,26.5357,20,2
163,26.5458,20,2
163.5,26.5557,20,2
164,26.5653,20,2
164.5,26.5748,20,2
165,26.584,20,2
165.5,26.5931,20,2
166,26.6019,20,2
166.5,26.6106,20,2
167,26.619,20,2
167.5,26.6273,20,2
168,26.6354,20,2
168.5,26.6433,20,2
169,26.6511,20,2
169.5,26.6587,20,2
170,26.6661,20,2
170.5,26.6734,20,2
171,26.6805,20,2
171.5,26.6874,20,2
172,26.6942,20,2
172.5,26.7009,20,2
173,26.7074,20,2
173.5,26.7137,20,2
174,26.7199,20,2
174.5,26.726,20,2
175,26.732,20,2
175.5,26.7378,20,2
176,26.7435,20,2
176.5,26.7491,20,2
177,26.7545,20,2
177.5,26.7599,20,2
178,26.7651,20,2
178.5,26.7702,20,2
179,26.7752,20,2
179.5,26.7801,20,2
180,26.7849,20,2
180.5,26.7895,20,2
181,26.7941,20,2
181.5,26.7986,20,2
182,26.803,20,2
182.5,26.8073,20,2
183,26.8114,20,2
183.5,26.8155,20,2
184,26.8196,20,2
184.5,26.8235,20,2
185,26.8273,20,2
185.5,26.8311,20,2
186,26.8347,20,2
186.5,26.8383,20,2
187,26.8419,20,2
187.5,26.8453,20,2
188,26.8487,20,2
188.5,26.8519,20,2
189,26.8552,20,2
189.5,26.8583,20,2
190,26.8614,20,2
190.5,26.8644,20,2
191,26.8674,20,2
191.5,26.8702,20,2
192,26.8731,20,2
192.5,26.8758,20,2
193,26.8785,20,2
193.5,26.8812,20,2
194,26.8837,20,2
194.5,26.8863,20,2
195,26.8887,20,2
195.5,26.8912,20,2
196,26.8935,20,2
196.5,26.8958,20,2
197,26.8981,20,2
197.5,26.9003,20,2
198,26.9025,20,2
198.5,26.9046,20,2
199,26.9067,20,2
199.5,26.9087,20,2
200,26.9107,20,2
200.5,26.9126,20,4
201,26.9145,20,4
201.5,26.9164,20,4
202,26.9182,20,4
202.5,26.92,20,4
203,26.9217,20,4
203.5,26.9234,20,4
204,27.0773,20,4
204.5,27.2278,20,4
205,27.375,20,4
205.5,27.519,20,4
206,27.6599,20,4
206.5,27.7977,20,4
207,27.9326,20,4
207.5,28.0645,20,4
208,28.1935,20,4
208.5,28.3197,20,4
209,28.4432,20,4
209.5,28.564,20,4
210,28.6822,20,4
210.5,28.7978,20,4
211,28.9109,20,4
211.5,29.0215,20,4
212,29.1297,20,4
212.5,29.2356,20,4
213,29.3392,20,4
213.5,29.4405,20,4
214,29.5396,20,4
214.5,29.6366,20,4
215,29.7314,20,4
215.5,29.8242,20,4
216,29.915,20,4
216.5,30.0038,20,4
217,30.0907,20,4
217.5,30.1757,20,4
218,30.2588,20,4
218.5,30.3401,20,4
219,30.4197,20,4
219.5,30.4975,20,4
220,30.5737,20,4
220.5,30.6482,20,4
221,30.721,20,4
221.5,30.7923,20,4
222,30.862,20,4
222.5,30.9303,20,4
223,30.997,20,4
223.5,31.0623,20,4
224,31.1261,20,4
224.5,31.1886,20,4
225,31.2497,20,4
225.5,31.3095,20,4
226,31.368,20,4
226.5,31.4252,20,4
227,31.4812,20,4
227.5,31.536,20,4
228,31.5895,20,4
228.5,31.6419,20,4
229,31.6932,20,4
229.5,31.7433,20,4
230,31.7924,20,4
230.5,31.8404,20,4
231,31.8873,20,4
231.5,31.9333,20,4
232,31.9782,20,4
232.5,32.0221,20,4
233,32.0651,20,4
233.5,32.1072,20,4
234,32.1484,20,4
234.5,32.1886,20,4
235,32.228,20,4
235.5,32.2665,20,4
236,32.3042,20,4
236.5,32.3411,20,4
237,32.3771,20,4
237.5,32.4124,20,4
238,32.4469,20,4
238.5,32.4807,20,4
239,32.5137,20,4
239.5,32.546,20,4
240,32.5776,20,4
240.5,32.6085,20,4
241,32.6388,20,4
241.5,32.6684,20,4
242,32.6973,20,4
242.5,32.7257,20,4
243,32.7534,20,4
243.5,32.7805,20,4
244,32.807,20,4
244.5,32.8329,20,4
245,32.8583,20,4
245.5,32.8831,20,4
246,32.9074,20,4
246.5,32.9311,20,4
247,32.9544,20,4
247.5,32.9771,20,4
248,32.9993,20,4
248.5,33.0211,20,4
249,33.0424,20,4
249.5,33.0632,20,4
250,33.0836,20,4
250.5,33.1035,20,4
251,33.123,20,4
251.5,33.142,20,4
252,33.1607,20,4
252.5,33.1789,20,4
253,33.1968,20,4
253.5,33.2142,20,4
254,33.2313,20,4
254.5,33.248,20,4
255,33.2644,20,4
255.5,33.2804,20,4
256,33.296,20,4
256.5,33.3113,20,4
257,33.3263,20,4
257.5,33.3409,20,4
258,33.3553,20,4
258.5,33.3693,20,4
259,33.383,20,4
259.5,33.3964,20,4
260,33.4095,20,4
260.5,33.4224,20,4
261,33.4349,20,4
261.5,33.4472,20,4
262,33.4592,20,4
262.5,33.471,20,4
263,33.4825,20,4
263.5,33.4937,20,4
264,33.5047,20,4
264.5,33.5155,20,4
265,33.526,20,4
265.5,33.5363,20,4
266,33.5464,20,4
266.5,33.5563,20,4
267,33.5659,20,4
267.5,33.5754,20,4
268,33.5846,20,4
268.5,33.5936,20,4
269,33.6025,20,4
269.5,33.6111,20,4
270,33.6196,20,4
270.5,33.6278,20,4
271,33.6359,20,4
271.5,33.6438,20,4
272,33.6516,20,4
272.5,33.6591,20,4
273,33.6666,20,4
273.5,33.6738,20,4
274,33.6809,20,4
274.5,33.6878,20,4
275,33.6946,20,4
275.5,33.7013,20,4
276,33.7078,20,4
276.5,33.7141,20,4
277,33.7203,20,4
277.5,33.7264,20,4
278,33.7323,20,4
278.5,33.7382,20,4
279,33.7439,20,4
279.5,33.7494,20,4
280,33.7549,20,4
280.5,33.7602,20,4
281,33.7654,20,4
281.5,33.7705,20,4
282,33.7755,20,4
282.5,33.7804,20,4
283,33.7852,20,4
283.5,33.7898,20,4
284,33.7944,20,4
284.5,33.7989,20,4
285,33.8032,20,4
285.5,33.8075,20,4
286,33.8117,20,4
286.5,33.8158,20,4
287,33.8198,20,4
