"time","T_Out_ext","T_amb_ext","u_ext"
123.5,26.3227,20,1
124,26.2614,20,1
124.5,26.2013,20,1
125,26.1426,20,1
125.5,26.0852,20,1
126,26.029,20,1
126.5,25.974,20,1
127,25.9202,20,1
127.5,25.8676,20,1
128,25.8161,20,1
128.5,25.7658,20,1
129,25.7165,20,1
129.5,25.6683,20,1
130,25.6212,20,1
130.5,25.5751,20,2
131,25.53,20,2
131.5,25.4858,20,2
132,25.4427,20,2
132.5,25.4004,20,2
133,25.3591,20,2
133.5,25.3568,20,2
134,25.3925,20,2
134.5,25.4274,20,2
135,25.4616,20,2
135.5,25.4951,20,2
136,25.5278,20,2
136.5,25.5598,20,2
137,25.5911,20,2
137.5,25.6217,20,2
138,25.6517,20,2
138.5,25.681,20,2
139,25.7097,20,2
139.5,25.7377,20,2
140,25.7652,20,2
140.5,25.792,20,2
141,25.8183,20,2
141.5,25.844,20,2
142,25.8691,20,2
142.5,25.8937,20,2
143,25.9177,20,2
143.5,25.9412,20,2
144,25.9643,20,2
144.5,25.9868,20,2
145,26.0088,20,2
145.5,26.0304,20,2
146,26.0514,20,2
146.5,26.0721,20,2
147,26.0922,20,2
147.5,26.112,20,2
148,26.1313,20,2
148.5,26.1502,20,2
149,26.1686,20,2
149.5,26.1867,20,2
150,26.2044,20,2
150.5,26.2217,20,2
151,26.2386,20,2
151.5,26.2551,20,2
152,26.2713,20,2
152.5,26.2872,20,2
153,26.3027,20,2
153.5,26.3178,20,2
154,26.3327,20,2
154.5,26.3472,20,2
155,26.3614,20,2
155.5,26.3752,20,2
156,26.3888,20,2
156.5,26.4021,20,2
157,26.4151,20,2
157.5,26.4278,20,2
158,26.4403,20,2
158.5,26.4524,20,2
159,26.4643,20,2
159.5,26.476,20,2
160,26.4874,20,2
160.5,26.4985,20,2
161,26.5094,20,2
161.5,26.5201,20,2
162,26.5305,20,2
162.5,26.5407,20,2
163,26.5507,20,2
163.5,26.5605,20,2
164,26.57,20,2
164.5,26.5794,20,2
165,26.5885,20,2
165.5,26.5975,20,2
166,26.6062,20,2
166.5,26.6148,20,2
167,26.6232,20,2
167.5,26.6313,20,2
168,26.6394,20,2
168.5,26.6472,20,2
169,26.6549,20,2
169.5,26.6624,20,2
170,26.6697,20,2
170.5,26.6769,20,2
171,26.6839,20,2
171.5,26.6908,20,2
172,26.6975,20,2
172.5,26.7041,20,2
173,26.7105,20,2
173.5,26.7168,20,2
174,26.723,20,2
174.5,26.729,20,2
175,26.7349,20,2
175.5,26.7406,20,2
176,26.7463,20,2
176.5,26.7518,20,2
177,26.7572,20,2
177.5,26.7625,20,2
178,26.7676,20,2
178.5,26.7727,20,2
179,26.7776,20,2
179.5,26.7825,20,2
180,26.7872,20,2
180.5,26.7918,20,2
181,26.7963,20,2
181.5,26.8008,20,2
182,26.8051,20,2
182.5,26.8093,20,2
183,26.8135,20,2
183.5,26.8175,20,2
184,26.8215,20,2
184.5,26.8254,20,2
185,26.8292,20,2
185.5,26.8329,20,2
186,26.8365,20,2
186.5,26.8401,20,2
187,26.8436,20,2
187.5,26.847,20,2
188,26.8503,20,2
188.5,26.8535,20,2
189,26.8567,20,2
189.5,26.8598,20,2
190,26.8629,20,2
190.5,26.8659,20,2
191,26.8688,20,2
191.5,26.8716,20,2
192,26.8744,20,2
192.5,26.8772,20,2
193,26.8798,20,2
193.5,26.8824,20,2
194,26.885,20,2
194.5,26.8875,20,2
195,26.8899,20,2
195.5,26.8923,20,2
196,26.8947,20,2
196.5,26.897,20,2
197,26.8992,20,2
197.5,26.9014,20,2
198,26.9035,20,2
198.5,26.9056,20,2
199,26.9077,20,2
199.5,26.9097,20,2
200,26.9117,20,2
200.5,26.9136,20,4
201,26.9155,20,4
201.5,26.9173,20,4
202,26.9191,20,4
202.5,26.9209,20,4
203,26.9226,20,4
203.5,27.0004,20,4
204,27.1526,20,4
204.5,27.3014,20,4
205,27.447,20,4
205.5,27.5895,20,4
206,27.7289,20,4
206.5,27.8652,20,4
207,27.9986,20,4
207.5,28.129,20,4
208,28.2566,20,4
208.5,28.3815,20,4
209,28.5036,20,4
209.5,28.6231,20,4
210,28.74,20,4
210.5,28.8544,20,4
211,28.9662,20,4
211.5,29.0757,20,4
212,29.1827,20,4
212.5,29.2874,20,4
213,29.3899,20,4
213.5,29.4901,20,4
214,29.5881,20,4
214.5,29.6841,20,4
215,29.7779,20,4
215.5,29.8697,20,4
216,29.9595,20,4
216.5,30.0473,20,4
217,30.1332,20,4
217.5,30.2173,20,4
218,30.2995,20,4
218.5,30.38,20,4
219,30.4587,20,4
219.5,30.5356,20,4
220,30.611,20,4
220.5,30.6846,20,4
221,30.7567,20,4
221.5,30.8272,20,4
222,30.8962,20,4
222.5,30.9637,20,4
223,31.0297,20,4
223.5,31.0942,20,4
224,31.1574,20,4
224.5,31.2192,20,4
225,31.2797,20,4
225.5,31.3388,20,4
226,31.3966,20,4
226.5,31.4532,20,4
227,31.5086,20,4
227.5,31.5628,20,4
228,31.6157,20,4
228.5,31.6676,20,4
229,31.7183,20,4
229.5,31.7679,20,4
230,31.8164,20,4
230.5,31.8639,20,4
231,31.9103,20,4
231.5,31.9557,20,4
232,32.0002,20,4
232.5,32.0437,20,4
233,32.0862,20,4
233.5,32.1278,20,4
234,32.1685,20,4
234.5,32.2083,20,4
235,32.2473,20,4
235.5,32.2854,20,4
236,32.3226,20,4
236.5,32.3591,20,4
237,32.3948,20,4
237.5,32.4297,20,4
238,32.4638,20,4
238.5,32.4972,20,4
239,32.5299,20,4
239.5,32.5618,20,4
240,32.5931,20,4
240.5,32.6237,20,4
241,32.6536,20,4
241.5,32.6829,20,4
242,32.7115,20,4
242.5,32.7395,20,4
243,32.7669,20,4
243.5,32.7937,20,4
244,32.8199,20,4
244.5,32.8456,20,4
245,32.8707,20,4
245.5,32.8952,20,4
246,32.9193,20,4
246.5,32.9428,20,4
247,32.9657,20,4
247.5,32.9882,20,4
248,33.0102,20,4
248.5,33.0317,20,4
249,33.0528,20,4
249.5,33.0734,20,4
250,33.0935,20,4
250.5,33.1132,20,4
251,33.1325,20,4
251.5,33.1514,20,4
252,33.1698,20,4
252.5,33.1879,20,4
253,33.2055,20,4
253.5,33.2228,20,4
254,33.2397,20,4
254.5,33.2562,20,4
255,33.2724,20,4
255.5,33.2882,20,4
256,33.3037,20,4
256.5,33.3188,20,4
257,33.3336,20,4
257.5,33.3481,20,4
258,33.3623,20,4
258.5,33.3761,20,4
259,33.3897,20,4
259.5,33.403,20,4
260,33.4159,20,4
260.5,33.4286,20,4
261,33.4411,20,4
261.5,33.4532,20,4
262,33.4651,20,4
262.5,33.4767,20,4
263,33.4881,20,4
263.5,33.4992,20,4
264,33.5101,20,4
264.5,33.5208,20,4
265,33.5312,20,4
265.5,33.5414,20,4
266,33.5513,20,4
266.5,33.5611,20,4
267,33.5706,20,4
267.5,33.58,20,4
268,33.5891,20,4
268.5,33.598,20,4
269,33.6068,20,4
269.5,33.6153,20,4
270,33.6237,20,4
270.5,33.6319,20,4
271,33.6399,20,4
271.5,33.6477,20,4
272,33.6554,20,4
272.5,33.6629,20,4
273,33.6702,20,4
273.5,33.6774,20,4
274,33.6844,20,4
274.5,33.6912,20,4
275,33.6979,20,4
275.5,33.7045,20,4
276,33.7109,20,4
276.5,33.7172,20,4
277,33.7234,20,4
277.5,33.7294,20,4
278,33.7353,20,4
278.5,33.741,20,4
279,33.7466,20,4
279.5,33.7522,20,4
280,33.7575,20,4
